hh,sex,age,lga,edu,mrt_status,fmly_size,m_income,cfuel,ipollut,rbiomass,dailycook,avl_lpg,aff_lpg,Electricity,hrs_elect,aff_elct,exp_elct,source_light,exp_lpg,exp_nonlpg,aff_solide,hh_appl,edu_appl,c_appl,occupation,hh_exp,housing,wall,floor,rooms,bank,bank_acct,b_facility,road,raod_dist,schl,type_sch,dst_sch,sch_days,sch_drpout,chld_labor,h_facility,dist_hfacility,illiness,waterborne,resp_disease,eye_disease,child_death,maternalcare,square_meal,health_ins,rooms_per_person,people_per_room
104.0,1,4.0,1,5,4,2,2,6,1,2.0,2.0,1,2,1.0,6.0,2.0,2000.0,1.0,0.0,0.0,2,1,1,1,2,60000.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2,1,4.0,0.5,5,2,0.0,1.0,0.5,2.0,2,0.0,0,0,2.0,3.0,2.0,1.0,0.5
105.0,1,5.0,1,4,1,7,3,4,1,2.0,2.0,1,5,1.0,4.0,2.0,2000.0,2.0,0.0,4500.0,2,1,1,1,2,60000.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1,1,2.0,1.0,5,2,0.0,1.0,0.5,5.0,5,0.0,0,4,2.0,3.0,1.0,0.375,1.75
106.0,1,2.0,1,6,4,4,7,6,1,2.0,3.0,1,2,1.0,10.0,2.0,30000.0,2.0,6000.0,5000.0,2,1,1,1,1,90000.0,4.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,2,1,1.0,1.0,5,2,0.0,1.0,5.0,5.0,5,0.0,0,0,2.0,3.0,1.0,1.0,0.6666666666666666
107.0,1,4.0,1,3,1,26,4,3,2,2.0,2.0,1,5,1.0,8.0,2.0,2000.0,1.0,0.0,4500.0,2,2,1,1,2,60000.0,1.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1,1,3.0,0.5,4,1,0.0,1.0,1.0,15.0,15,6.0,2,6,1.0,2.0,2.0,0.14814814814814814,5.2
108.0,1,4.0,1,3,1,10,2,4,2,2.0,2.0,1,5,2.0,0.0,2.0,0.0,2.0,0.0,4500.0,2,2,2,1,2,60000.0,2.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,3,1,3.0,1.0,5,1,0.0,1.0,1.0,8.0,8,0.0,4,2,1.0,2.0,1.0,0.45454545454545453,1.6666666666666667
109.0,1,3.0,1,5,4,5,6,6,1,2.0,3.0,1,2,1.0,6.0,2.0,2000.0,2.0,0.0,0.0,2,1,1,1,1,60000.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1,1,1.0,2.0,5,2,0.0,1.0,0.5,3.0,3,0.0,0,0,2.0,3.0,1.0,0.5,1.25
110.0,1,3.0,1,6,4,6,7,6,1,2.0,4.0,1,2,1.0,4.0,2.0,2000.0,2.0,0.0,0.0,2,1,1,1,1,60000.0,2.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,3,1,1.0,4.0,5,2,0.0,1.0,0.5,3.0,2,0.0,0,0,2.0,4.0,2.0,0.5714285714285714,1.2
111.0,1,4.0,1,5,4,8,6,6,1,2.0,3.0,1,2,1.0,6.0,2.0,10000.0,2.0,13700.0,5000.0,2,1,1,1,1,60000.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2,1,1.0,1.0,5,2,0.0,1.0,1.0,4.0,2,0.0,0,0,2.0,3.0,2.0,0.4444444444444444,1.6
112.0,1,2.0,1,2,1,2,2,4,1,2.0,2.0,1,5,1.0,2.0,2.0,2000.0,2.0,0.0,4500.0,2,1,1,1,2,60000.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2,1,4.0,0.0,4,1,0.0,1.0,1.0,2.0,2,0.0,0,1,2.0,3.0,2.0,1.0,0.5
113.0,1,3.0,1,5,4,4,7,6,1,2.0,3.0,1,2,1.0,6.0,2.0,2000.0,2.0,0.0,0.0,2,1,1,1,1,60000.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,2,1,1.0,2.0,5,2,0.0,1.0,1.0,2.0,2,0.0,0,0,2.0,3.0,1.0,0.8,0.8
